City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,aykhal,66.0,111.5,244.24,100,100,2.41,RU,1680300211
158,grand gaube,-20.0064,57.6608,299.47,76,15,2.24,MU,1680300212
159,cherskiy,68.75,161.3,259.71,91,100,10.49,RU,1680300212
160,mayumba,-3.432,10.6554,299.09,86,91,2.85,GA,1680300212
161,acuautla,20.4903,-98.0336,302.87,44,37,2.21,MX,1680300212
162,nikolskoye,59.7035,30.7861,272.09,98,100,3.12,RU,1680300213
163,ugoofaaru,5.6667,73.0,301.16,67,92,2.11,MV,1680300215
164,nara,34.6851,135.8049,286.37,30,3,0.68,JP,1680300017
165,doha,25.2867,51.5333,297.09,64,0,2.57,QA,1680300215
166,comodoro rivadavia,-45.8667,-67.5,289.07,29,0,3.09,AR,1680300215
167,saldanha,-33.0117,17.9442,289.79,87,5,6.09,ZA,1680300216
168,plakhtiyivka,46.1006,29.7217,281.28,85,99,1.58,UA,1680300216
169,nhulunbuy,-12.2333,136.7667,297.49,94,100,0.0,AU,1680300216
170,barrow,71.2906,-156.7887,258.16,92,100,2.57,US,1680300000
171,camacha,33.0833,-16.3333,289.83,88,20,4.12,PT,1680300217
172,gavle,60.6745,17.1417,266.99,84,6,0.45,SE,1680300217
173,torbay,47.6666,-52.7314,272.19,81,20,2.06,CA,1680300014
174,korsakov,46.6328,142.7813,273.06,86,85,5.11,RU,1680300218
175,thompson,55.7435,-97.8558,267.24,53,100,3.09,CA,1680300017
176,araouane,18.9048,-3.5265,300.68,6,0,5.41,ML,1680300218
177,mehamn,71.0357,27.8492,273.1,100,100,13.38,NO,1680300218
178,mahanoro,-19.9,48.8,297.47,87,49,1.37,MG,1680300218
179,hisar,29.1667,75.7167,289.94,82,97,2.46,IN,1680300218
180,panacan,9.2463,118.4082,299.1,84,100,3.33,PH,1680300219
181,waipawa,-41.4122,175.5153,286.73,82,100,2.79,NZ,1680300219
182,zhirnov,48.1709,41.1261,276.21,80,20,6.05,RU,1680300219
183,shubarshi,48.5872,57.1869,286.54,45,96,7.03,KZ,1680300219
184,kavieng,-2.5744,150.7967,300.79,73,100,1.65,PG,1680300220
185,naze,28.3667,129.4833,291.66,86,6,2.97,JP,1680299969
186,camana,-16.6228,-72.7111,297.1,82,58,2.32,PE,1680300220
187,dhankuta,26.9833,87.3333,286.43,81,78,0.85,NP,1680300220
188,namibe,-15.1961,12.1522,296.33,82,91,2.24,AO,1680300220
189,houma,29.5958,-90.7195,301.15,79,0,9.26,US,1680300220
190,pekalongan,-6.8886,109.6753,299.82,78,100,1.61,ID,1680300221
191,qaqortoq,60.7167,-46.0333,266.78,76,46,2.16,GL,1680300221
192,meridian,43.6121,-116.3915,285.46,42,40,3.09,US,1680300206
193,ponta do sol,32.6667,-17.1,292.66,51,0,1.59,PT,1680300221
194,beloha,-25.1667,45.05,294.88,93,89,4.33,MG,1680300221
195,batticaloa,7.7102,81.6924,296.99,88,17,1.97,LK,1680300221
196,westport,41.1415,-73.3579,284.12,64,100,1.34,US,1680300020
197,pasighat,28.0667,95.3333,292.07,81,99,1.3,IN,1680300222
198,mumford,5.2618,-0.759,298.32,86,100,1.9,GH,1680300222
199,verkhnevilyuysk,63.4453,120.3167,249.48,97,100,1.73,RU,1680300222
200,castro,-24.7911,-50.0119,292.94,77,0,1.29,BR,1680300222
201,chemal,51.4111,86.005,263.9,93,100,1.59,RU,1680300222
202,sretensk,52.2453,117.7093,272.23,67,84,4.15,RU,1680300222
203,lucea,18.451,-78.1736,302.07,73,52,4.8,JM,1680300113
204,kudahuvadhoo,2.6708,72.8944,300.85,73,1,1.93,MV,1680300222
205,san jose,37.3394,-121.895,291.43,48,40,5.14,US,1680300050
206,ippy,6.2679,21.2247,298.01,58,100,2.87,CF,1680300223
207,tura,25.5198,90.2201,290.93,81,95,0.6,IN,1680300223
208,san policarpo,12.1791,125.5072,299.77,82,99,4.7,PH,1680300223
209,souillac,-20.5167,57.5167,299.36,89,40,3.09,MU,1680300223
210,nome,64.5011,-165.4064,269.35,70,74,1.53,US,1680300007
211,talipparamba,12.05,75.35,296.27,76,20,1.81,IN,1680300166
212,yerbogachen,61.2767,108.0108,243.54,100,87,1.66,RU,1680300224
213,cayenne,4.9333,-52.3333,300.17,78,75,3.09,GF,1680300224
214,sorland,67.667,12.6934,274.07,67,68,5.65,NO,1680300224
215,zelenoborsk,61.4669,64.0333,271.08,84,100,5.89,RU,1680300224
216,lorengau,-2.0226,147.2712,300.59,79,100,1.78,PG,1680300224
217,uyemskiy,64.4743,40.8524,267.18,68,0,2.0,RU,1680300224
218,korhogo,9.45,-5.6333,302.51,27,89,2.02,CI,1680300225
219,zlobin,45.2924,14.6541,281.76,80,75,7.2,HR,1680300225
220,seoul,37.5683,126.9778,279.93,76,0,1.03,KR,1680299952
221,dudinka,69.4058,86.1778,256.83,84,100,12.95,RU,1680300225
222,lensk,60.7253,114.9278,260.63,93,100,2.68,RU,1680300225
223,bairiki,1.3292,172.9752,301.15,78,75,2.06,KI,1680300225
224,luderitz,-26.6481,15.1594,289.47,83,0,1.57,NA,1680300225
225,vitim,59.4511,112.5578,262.88,96,100,2.42,RU,1680300225
226,cabo san lucas,22.8909,-109.9124,297.72,50,93,2.75,MX,1680300197
227,broken hill,-31.95,141.4333,286.93,67,0,7.42,AU,1680300226
228,tomatlan,19.9333,-105.25,308.96,12,32,5.09,MX,1680300226
229,abu kamal,34.4506,40.9171,282.1,39,0,6.69,SY,1680300226
230,pacifica,37.6138,-122.4869,290.06,59,75,3.6,US,1680300226
231,vestmanna,62.1564,-7.1664,278.66,93,100,7.2,FO,1680300226
232,mackay,-21.15,149.2,300.2,90,71,2.02,AU,1680300226
233,abalak,58.1286,68.5944,268.97,78,88,5.13,RU,1680300226
234,coihaique,-45.5752,-72.0662,281.12,71,0,1.54,CL,1680299977
235,pitimbu,-7.4706,-34.8086,300.48,84,5,2.77,BR,1680300004
236,gunjur,13.2019,-16.7339,296.19,88,86,3.6,GM,1680300227
237,tongchuan,35.0806,109.0897,283.2,84,0,1.32,CN,1680300227
238,san juan,-31.5375,-68.5364,293.56,29,0,2.88,AR,1680300069
239,faya,18.3851,42.4509,288.44,83,39,1.44,SA,1680300227
240,luganville,-15.5333,167.1667,301.34,78,86,1.41,VU,1680300227
241,athmallik,20.7219,84.5348,298.96,71,95,0.61,IN,1680300227
242,bolpur,23.6667,87.7167,296.85,57,100,4.36,IN,1680300227
243,ulaanbaatar,47.9077,106.8832,267.22,73,0,5.0,MN,1680299997
244,medveda,56.5081,92.4078,258.25,96,95,2.44,RU,1680300228
245,puerto quijarro,-17.7833,-57.7667,296.46,94,99,2.15,BO,1680300228
246,esperance,-33.8667,121.9,289.9,83,100,4.87,AU,1680300228
247,ahipara,-35.1667,173.1667,292.2,94,100,3.83,NZ,1680300228
248,santa rosa,14.3122,121.1114,300.14,89,26,2.72,PH,1680300228
249,lebu,-37.6167,-73.65,287.41,67,4,4.07,CL,1680300228
250,havelock,34.8791,-76.9013,295.14,75,98,4.47,US,1680300228
251,faanui,-16.4833,-151.75,301.33,66,100,2.64,PF,1680300229
252,fairbanks,64.8378,-147.7164,269.04,70,100,2.57,US,1680299955
253,acarau,-2.8856,-40.12,300.82,74,34,6.39,BR,1680300229
254,tessalit,20.1986,1.0114,299.08,9,0,6.79,ML,1680300229
255,athabasca,54.7169,-113.2854,275.38,80,49,2.05,CA,1680300041
256,mongo,12.1844,18.693,303.5,14,92,1.15,TD,1680300229
257,khandagayty,50.7333,92.05,256.74,80,28,3.81,RU,1680300229
258,sitka,57.0531,-135.33,277.11,94,100,2.27,US,1680300230
259,saint-francois,46.4154,3.9054,282.84,74,75,5.66,FR,1680300230
260,hasaki,35.7333,140.8333,285.49,61,0,0.38,JP,1680300230
261,bella union,-30.2752,-57.6007,295.38,76,73,6.29,UY,1680300230
262,coos bay,43.3665,-124.2179,283.88,81,100,8.23,US,1680300230
263,lerwick,60.1545,-1.1494,279.15,82,96,1.67,GB,1680300230
264,plouzane,48.3833,-4.6167,284.18,90,75,8.75,FR,1680300231
265,kimbe,-5.5502,150.1429,299.44,84,99,0.76,PG,1680300231
266,wanning,18.8003,110.3967,295.98,98,93,1.01,CN,1680300231
267,boffa,10.1667,-14.0333,297.32,76,56,0.8,GN,1680300231
268,port elizabeth,-33.918,25.5701,288.31,86,0,2.06,ZA,1680300110
269,bardiyah,31.7561,25.0865,288.24,71,0,3.14,LY,1680300232
270,ullapool,57.8987,-5.1604,280.57,86,100,3.03,GB,1680300232
271,chegdomyn,51.1167,133.0167,270.13,84,100,0.82,RU,1680300232
272,sozimskiy,59.7418,52.2482,276.4,94,100,4.69,RU,1680300232
273,yulara,-25.2406,130.9889,289.63,70,100,5.36,AU,1680300232
274,dossor,47.5272,52.9811,282.33,42,100,8.66,KZ,1680300232
275,xichang,27.8964,102.2634,283.25,92,0,0.48,CN,1680300232
276,pulandian,39.3953,121.9669,282.62,43,80,1.22,CN,1680300233
277,kununurra,-15.7667,128.7333,297.14,88,99,2.06,AU,1680300233
278,codrington,-38.2667,141.9667,286.07,62,100,5.23,AU,1680300233
279,kautokeino,69.0125,23.0412,260.94,85,13,2.51,NO,1680300233
280,devonport,-41.1667,146.35,284.83,63,35,3.37,AU,1680300233
281,artigas,-30.4,-56.4667,293.96,82,77,6.39,UY,1680300086
282,hambantota,6.1241,81.1185,298.34,100,40,0.0,LK,1680300234
283,sacama,-3.9,-79.2667,287.16,68,75,1.54,EC,1680300234
284,hay river,60.8156,-115.7999,263.13,73,100,7.2,CA,1680300234
285,abu dhabi,24.4667,54.3667,298.12,72,0,2.06,AE,1680300051
286,umred,20.85,79.3333,296.31,45,99,2.17,IN,1680300234
287,miraflores,19.2167,-98.8083,300.94,27,45,1.89,MX,1680300234
288,pullman,46.7313,-117.1796,282.28,56,100,9.39,US,1680300041
289,riyadh,24.6877,46.7219,291.23,34,20,9.0,SA,1680300232
290,salalah,17.0151,54.0924,298.13,89,69,6.28,OM,1680300235
291,ekhabi,53.5102,142.9671,272.69,96,90,2.97,RU,1680300235
292,egvekinot,66.3167,-179.1667,257.13,96,100,2.23,RU,1680300235
293,atherton,53.5237,-2.4935,283.31,87,100,1.34,GB,1680299985
294,sinnamary,5.3833,-52.95,299.79,78,100,6.04,GF,1680300235
295,sao felix do xingu,-6.6447,-51.995,296.23,97,96,1.25,BR,1680300066
296,ambilobe,-13.2,49.05,296.58,96,37,0.61,MG,1680300235
297,byron bay,-28.65,153.6167,290.77,60,100,0.97,AU,1680300236
298,pyay,18.8167,95.2167,298.24,61,5,1.17,MM,1680300236
299,georgetown,5.4112,100.3354,301.12,83,20,1.03,MY,1680300013
300,leshukonskoye,64.8989,45.7622,266.4,96,100,1.76,RU,1680300236
